,AA0Ab,ACC3a,AC83a,AC83b,A80Aa,A80Ab,A80Ac,A82Aa,A82Ab,A82Ac,A9A3a,A9A3b,A9C3a,A9C3b,B0CBa,B083b,B083c,B083d,B10Aa,B10Ab,B12Aa,B12Ab,B12Ad,B18Ab,B18Ac,B203a,B203b,B22Aa,B22Ab,B2AAa,B2AAa_v1,B3CAa,B3CAc,B383a,B383c,BA0Aa,BA0Ab,BA0Ac,BA23b,BA23c,BAAAa,BAAAb,BAC3b,BAC3c,BA8Aa,BA8Ac,BB0Aa,BB0Ac,BB2Ae,BB2Af,BBAAa,BCCAa,BC8Aa,BC8Ab,B703a,B703b,B703c,B723a,B723b,B723c,B783b,B80Aa,B80Ad,B80Ae,B9A3a,B9CAa,B9CAc,B98Aa,C0CAa,C08Bc,C103a,C20Aa,C22Aa,C22Ab,C22Ac,C3ACa,C38Ca,C38Cb
ID_318,0.055323408,0.047961581,0.694677595,2.902476687,0.015278019,0.024657666,0.093942543,0.399014817,0.855441782,0.152715393,0.775230146,3.890177046,8.858823443,19.1052349,0.018222016,0.03616277,0.333007453,0.123280064,1.796625443,0.068839332,0.126234609,0.683263835,0.257287181,0.200164522,1.805261075,6.758519884,13.32237446,3.834100496,14.43859048,7.045908687,15.28163583,0.024919596,0.09137076,0.034240031,0.103995779,0.02101948,0.124848476,0.052898418,0.244257344,1.121662586,3.066870314,8.241886015,1.090709871,2.730566041,0.422701512,0.325196334,0.075975229,0.278091239,0.03376806,0.262172188,0.060476653,0.003596286,0.559556428,2.015022737,0.019194797,0.228115056,1.061280026,0.429749336,0.092502982,0.191668091,0.032546197,0.119162596,0.020886857,0.081546381,0.217454324,0.069318665,0.044038042,0.006064916,0.038032197,0.332835921,0.054239515,0.127000363,0.081798256,0.125136847,0.04857926,0.080416934,0.04595543,0.040102968
ID_319,0.052280911,0.037759093,0.693924097,2.680400117,0.014540098,0.028153563,0.094715788,0.478330422,0.974353756,0.140617189,0.774613959,5.31040329,9.236193416,21.02934411,0.020174239,0.041302353,0.447140371,0.117245594,1.815257123,0.077162227,0.270913737,1.093559158,0.389010176,0.221748872,1.554210279,8.534655553,18.0922982,3.486102076,16.40196453,2.310354537,17.86012528,0.054947131,0.098384673,0.067712874,0.130276002,0.035631394,0.245976271,0.040906359,0.284255281,1.059489659,2.66872009,8.398170553,0.835624283,2.206207735,0.536235387,0.293401498,0.107005661,0.234838712,0.039019457,0.204513051,0.03505302,0.008595625,0.661804193,1.29212675,0.017908645,0.21374399,0.665982945,0.692581691,0.076021047,0.123170379,0.041987013,0.106636014,0.017298691,0.064705909,0.205525905,0.109699263,0.082597378,0.010528569,0.051463416,0.229683805,0.065898106,0.120261971,0.108708098,0.094976251,0.074318852,0.044646856,0.052781137,0.032934672
ID_320,0.036886118,0.027809106,0.596576352,2.381485809,0.011623508,0.02477227,0.114222644,0.41410928,1.020939758,0.204266001,0.31239872,5.195273561,11.80302743,29.61623283,0.023986653,0.038202895,0.366689904,0.202584971,2.2098286,0.105507488,0.186219631,0.741925769,0.349367725,0.214018999,1.868617378,10.15860822,25.74008014,4.900171462,24.69120604,4.640562228,28.28050895,0.054748746,0.108184728,0.07426809,0.183098001,0.030247573,0.209010114,0.060873105,0.298671396,1.224029801,13.22178407,9.916203313,0.896796875,2.34016854,0.406173747,0.331408265,0.076131742,0.480373861,0.040199334,0.361017635,0.030386224,0.010267918,0.615916527,1.617223601,0.022638299,0.18315975,0.712896306,0.357940489,0.073221497,0.121324384,0.054593187,0.087954189,0.015546201,0.102408777,0.13123045,0.043884929,0.063652121,0.004847976,0.037748903,0.31200562,0.044743501,0.097138281,0.080595558,0.117304414,0.04452353,0.023862774,0.028401951,0.03753778
ID_321,0.077197697,0.031538077,0.706160763,3.57566116,0.023369557,0.033654668,0.066236861,0.579396488,1.26713829,0.163509517,0.716555041,5.304709112,10.95647065,27.02443883,0.018032762,0.034780448,0.362999304,0.118043619,2.360611716,0.083725846,0.216338436,0.807240694,0.228495448,0.269607493,1.171837069,11.67515442,22.48793135,4.987342716,16.54318198,2.998870452,21.63692442,0.034779356,0.12131269,0.065100067,0.143144967,0.021858462,0.145489658,0.049951567,0.165908799,0.44799913,4.086276977,5.715519645,0.968268232,1.894003636,0.310858491,0.355806984,0.072661856,0.396033787,0.048175028,0.259758418,0.021462601,0.009936774,0.780756498,1.089916891,0.01844491,0.252394955,0.410160719,0.221265699,0.126611585,0.081908222,0.063811236,0.073680593,0.015799883,0.090123862,0.127233067,0.035921433,0.066741711,0.005827531,0.031526164,0.313236856,0.053086296,0.111207165,0.088123402,0.079415892,0.049057449,0.026346442,0.0480785,0.039424499
ID_322,0.059179232,0.027353352,0.371050182,1.726645199,0.009446708,0.016935194,0.081629036,0.279116814,0.570740915,0.193927498,0.3819183,3.74839215,8.55016825,24.06808291,0.019213334,0.021595143,0.243783262,0.142702591,1.501414078,0.086510125,0.251982228,1.087745584,0.300229921,0.262174906,1.946240503,8.697406646,17.56308145,3.255077025,15.23408307,7.426365166,19.09438946,0.070569136,0.084750566,0.097878619,0.103626204,0.035053811,0.220732891,0.039287423,0.271365878,0.938586042,2.986910909,6.431977867,0.838489963,2.057136625,0.394883762,0.277608647,0.067109477,0.357923224,0.03464729,0.373700518,0.028671317,0.013605297,0.492098404,1.324306572,0.03760494,0.221610855,0.630606607,0.277531977,0.083696788,0.126436058,0.047017735,0.078843195,0.012601184,0.096334024,0.06776565,0.045761577,0.034298049,0.007586842,0.025533711,0.319883891,0.038600992,0.064549554,0.065095861,0.074808953,0.049776601,0.015709713,0.029699097,0.028720073
ID_323,0.043901468,0.013556634,0.332344846,1.227556564,0.008218901,0.01215704,0.092671051,0.253097966,0.536140128,0.184196153,0.480689543,3.574249721,8.528754804,23.15124149,0.019956192,0.025974853,0.196436281,0.14193121,1.700682237,0.088894166,0.197665236,0.71646889,0.299216796,0.167815152,1.293410122,9.386245363,19.92868802,6.66028858,14.09457139,3.97232789,20.14291349,0.049653688,0.081823233,0.056192298,0.146754128,0.023155679,0.189305327,0.063100256,0.257274765,0.904931233,3.847021118,9.479896877,0.888796451,2.322245549,0.451614544,0.232199737,0.082212731,0.370788134,0.038756539,0.368979453,0.017910924,0.010767791,0.744995196,1.555474493,0.027636241,0.28441427,0.724380396,0.387175359,0.115592514,0.102196792,0.068152762,0.079545987,0.017049065,0.102654935,0.142767967,0.05385244,0.037595066,0.006159167,0.04389313,0.341927684,0.049354689,0.095450173,0.076086036,0.139822781,0.04037755,0.02337941,0.03985865,0.037141325
ID_325,0.038257018,0.018010437,0.511642703,1.877639338,0.008451872,0.012744979,0.061108615,0.299838138,0.965906211,0.17554475,0.749231416,5.141437601,10.99191152,31.27131758,0.014063482,0.030449345,0.397028306,0.144593549,2.178963831,0.135120704,0.079884098,0.359293675,0.16019509,0.193308358,0.574261215,9.660105092,10.61428208,5.481722558,18.26274683,2.885306015,20.55453073,0.021523049,0.092809997,0.028694712,0.087758743,0.012573183,0.059141323,0.056760833,0.36366075,0.435365302,6.806811193,5.561445779,1.599586263,1.940401541,0.590697052,0.309238209,0.1478302,0.497694428,0.037343908,0.280792793,0.057050854,0.031304951,1.529633004,0.809110879,0.025408089,0.590954148,0.288320678,0.531419846,0.260860516,0.112798062,0.043297617,0.10730888,0.0244834,0.081802492,0.248986315,0.07028938,0.072863644,0.006466581,0.07050149,0.265546053,0.072473107,0.158607151,0.12840008,0.133130871,0.054610586,0.056595552,0.069966727,0.059185598
ID_326,0.069064045,0.021935735,0.601899393,2.390461367,0.017772745,0.028168915,0.061672783,0.439542607,0.996586516,0.182906253,0.480363549,5.546417949,10.06002869,30.18937192,0.038713432,0.037066103,0.410520033,0.148551731,1.844347685,0.088925032,0.341737382,1.210260115,0.245338746,0.220972687,2.158222208,8.891167125,19.7934229,3.702858123,16.53913517,5.563492296,21.53247654,0.092146465,0.101449631,0.109486399,0.178630288,0.037268147,0.26110338,0.045870493,0.133314537,0.924131711,2.859912343,6.754884726,0.495990931,1.959425862,0.297364975,0.301058811,0.065929542,0.384651751,0.030600253,0.298481524,0.053276115,0.035285194,0.41062683,0.744753678,0.037209532,0.234871394,0.48921713,0.248823505,0.103617099,0.116226148,0.035804917,0.078265956,0.011687775,0.072940714,0.065644342,0.030734548,0.055630818,0.008432196,0.031199994,0.208901973,0.042215198,0.069914651,0.069384013,0.055519786,0.051043197,0.014438289,0.030927813,0.029727163
ID_327,0.053395837,0.017108923,0.339590597,1.527091072,0.006098079,0.014063836,0.117393698,0.2677789,0.883162704,0.239375616,0.163375959,3.959204846,13.35464779,32.15309557,0.016240216,0.024461478,0.353351967,0.295458556,3.043322521,0.169227865,0.187662635,0.785971568,0.341947956,0.193032498,1.792865057,10.90755143,27.01160771,5.824180808,26.75676639,6.209204191,32.72936127,0.050204872,0.181071783,0.071465528,0.230346707,0.021764296,0.172388234,0.080140326,0.260352183,1.136126548,4.24660067,9.973620486,0.991901669,2.898453091,0.278416143,0.474299964,0.095402284,0.585954149,0.070500172,0.494886036,0.060337778,0.059123913,0.828317513,2.150605681,0.036989161,0.385335306,0.67056622,0.310143245,0.209594564,0.193644731,0.075931753,0.105680348,0.020363573,0.144577528,0.102585433,0.038839326,0.075071629,0.008760959,0.066203579,0.295723361,0.045557472,0.118087917,0.100690318,0.159818472,0.089456125,0.037719523,0.047217505,0.046306839
ID_328,0.130729603,0.056896947,0.804911327,2.71273619,0.012381106,0.018543987,0.052171454,0.383234678,0.892372906,0.141578552,0.594074502,3.942936949,8.400600543,25.03194685,0.026853055,0.02584809,0.299965984,0.151415102,1.694710035,0.079207872,0.310661716,1.211760491,0.295548246,0.573644506,2.8823041,9.576595338,22.63650786,4.002116505,15.34740581,2.827928848,19.03246978,0.106878855,0.100720579,0.087874152,0.176884027,0.043610923,0.289749258,0.047014473,0.301133766,0.779826528,4.226218013,6.617322936,1.13527674,2.240049853,0.249783146,0.299534403,0.053191231,0.41786596,0.036119199,0.323822775,0.03204952,0.039595563,0.621604816,1.29019186,0.017855849,0.225114027,0.402932411,0.209859369,0.122819299,0.112105974,0.042091556,0.059420337,0.007611579,0.08958,0.064701164,0.02169373,0.040352677,0.00705243,0.019399931,0.322467873,0.032030452,0.057995321,0.049713765,0.052449714,0.075714286,0.013109028,0.025703475,0.020381858
ID_329,0.04862961,0.014808776,0.234586644,1.247290163,0.004206769,0.01803869,0.067832781,0.277378884,0.752092589,0.193605577,0.270542333,3.37573703,11.09224945,26.50743997,0.017016876,0.026367321,0.244310105,0.180382757,1.955004556,0.151374434,0.337436111,1.199592216,0.444238211,0.141717803,1.305672827,8.737623319,21.12292639,3.775402483,18.01480701,4.838173146,28.3625399,0.056194374,0.109309451,0.100480722,0.200243664,0.040453644,0.273462576,0.079947465,0.229838833,0.87457097,3.016125,6.586678047,0.635255206,2.006191564,0.163149567,0.347225987,0.051002434,0.570256454,0.052834549,0.493834743,0.060074214,0.053780805,0.611172404,1.526095742,0.040104908,0.282032098,0.466515887,0.183659319,0.122349945,0.117699553,0.079633277,0.067843053,0.010963898,0.10816509,0.059942254,0.018128117,0.057227366,0.010498911,0.040632882,0.335918275,0.047754011,0.083847451,0.079588053,0.094723175,0.041121857,0.017084601,0.035204344,0.039078358
ID_330,0.037838415,0.010708969,0.296363741,2.018769014,0.00773983,0.01828018,0.127527087,0.345320905,1.034952097,0.226675494,0.219492786,4.487893217,11.66366085,29.47502343,0.014875964,0.027067257,0.326165521,0.203664429,2.171686973,0.120773158,0.121325801,0.456572305,0.32996972,0.16905709,1.276557697,7.365880193,23.092575,3.349278731,21.27859003,4.899332702,27.33920293,0.036981247,0.11427521,0.028600318,0.19542285,0.021223447,0.165970102,0.087160227,0.060099743,0.828864921,1.407581436,7.204064471,0.412591218,2.305796271,0.485847268,0.458299347,0.124869301,0.5172022,0.041254452,0.394271765,0.040206961,0.054695991,0.368820802,2.181319375,0.019170333,0.082861063,0.600371627,0.466486759,0.079355039,0.129746304,0.069981622,0.090836097,0.017288917,0.11266657,0.103196032,0.104462985,0.040155474,0.004938004,0.040794871,0.368463112,0.052239101,0.108460259,0.100569058,0.106697998,0.075094998,0.041247969,0.052037128,0.046315151
ID_331,0.024069461,0.014862371,0.320840392,2.024695032,0.010226421,0.018879173,0.189765473,0.355586067,0.960369439,0.253691068,0.490997969,5.166055456,10.39240308,27.5254236,0.014419955,0.023783373,0.356263895,0.202104014,2.262893382,0.134254677,0.2331561,1.093163879,0.435785826,0.06723247,1.317497741,6.918603126,22.28144194,4.030962539,21.42389934,4.516876536,26.89771397,0.029881618,0.114647752,0.068954568,0.223535935,0.041718233,0.320380999,0.088722448,0.202426213,1.162080689,2.84506171,9.697578334,0.854916905,2.766924394,0.58056093,0.444183822,0.116420442,0.468468153,0.032470305,0.481645674,0.078908822,0.010857224,0.370668674,2.334770159,0.009152389,0.249571836,0.892591443,0.70361943,0.095991907,0.178417446,0.069226205,0.128914684,0.028057573,0.135082516,0.182474773,0.095549496,0.058037444,0.003845392,0.050281237,0.499122276,0.05409248,0.158214291,0.10354795,0.176703656,0.049334843,0.069217671,0.060076311,0.055564751
ID_332,0.044140537,0.039348574,0.485412575,2.212315104,0.010647616,0.026324604,0.072369117,0.483511927,0.879955711,0.110807197,0.65326672,4.118004632,7.490321845,18.63591559,0.017525167,0.017314252,0.290341382,0.079761321,1.340338263,0.056226982,0.293929829,1.078734919,0.216014613,0.162657378,1.487053677,6.4538496,17.72869167,5.508068611,13.29647472,2.822296641,14.95425119,0.07057725,0.069370003,0.09066977,0.115633825,0.030435852,0.230013812,0.031356024,0.090430642,0.696271993,2.025375935,7.081933957,0.650202701,2.573749456,0.515910864,0.252504115,0.10686375,0.22408088,0.034366451,0.203598495,0.036284503,0.038943461,0.220881412,1.029939692,0.02752204,0.192263188,0.422025223,0.447931339,0.06506723,0.089124792,0.028648172,0.090980091,0.016820111,0.070515301,0.158601219,0.057148316,0.042903631,0.010215791,0.040060594,0.293007975,0.051362672,0.104542105,0.093392444,0.132971112,0.040463155,0.049978153,0.040108655,0.038106751
ID_333,0.122750411,0.060641731,1.066029751,3.494474015,0.015329108,0.039088337,0.134717267,0.562205155,1.264429233,0.267094191,1.071331936,7.65933457,14.50423148,34.55249695,0.03038008,0.042335986,0.530642346,0.25480397,2.710804291,0.197685612,0.082799553,0.296505456,0.299379938,0.200043175,2.066726147,10.47716545,27.8316717,10.45992525,30.55803267,6.030768808,31.38280079,0.010891698,0.133904601,0.05523106,0.216568432,0.007362511,0.111435195,0.058460344,0.112807776,1.180311868,3.595162343,9.835471652,1.049820354,3.074856761,0.462982102,0.499481888,0.118928124,0.532660234,0.052906699,0.390796013,0.085581534,0.068386579,0.468327841,1.528463862,0.009389468,0.28080444,0.965843529,0.559330872,0.100136564,0.182454007,0.056466077,0.094939483,0.013112279,0.137081269,0.172791345,0.056261866,0.086670878,0.006584594,0.038890006,0.424129666,0.054633032,0.114617479,0.105395083,0.133079138,0.147969545,0.041705932,0.050428647,0.034368362
ID_334,0.044759885,0.014286043,0.396023861,2.470939836,0.008642348,0.017716109,0.068278614,0.311348966,1.070258298,0.129549513,0.58476972,6.268503583,11.09191031,31.41375342,0.011221527,0.025713524,0.396971249,0.14354992,1.66406549,0.092152864,0.151480678,0.496934116,0.281593283,0.096644009,1.205585128,7.82097392,16.20233401,4.213662217,18.63657538,2.129769457,20.93199298,0.016720894,0.115436089,0.021536343,0.136360704,0.007414058,0.059049131,0.053488227,0.291560357,1.311166347,3.035151968,6.293634121,0.893561729,2.044768099,0.425006083,0.433201063,0.144765229,0.505309255,0.03937245,0.217950582,0.065199263,0.033662218,0.658692223,1.13018512,0.028995749,0.149335092,0.398878557,0.353662269,0.117837423,0.074831403,0.054368361,0.104571676,0.017657113,0.099511102,0.218226292,0.050255307,0.112771963,0.071866821,0.052914613,0.344870812,0.103673716,0.137425907,0.127306577,0.112087402,0.109816663,0.082165455,0.088115085,0.073577915
ID_335,0.068854954,0.063386076,0.64400419,2.902779358,0.014162969,0.026250411,0.062794655,0.282763963,0.818244033,0.116985712,0.775007134,5.027885725,7.979420142,25.05057541,0.02674926,0.035274178,0.297380982,0.115166426,1.257219343,0.065331143,0.31719624,1.19482024,0.197841294,0.345343226,2.118697998,7.132760752,19.07225196,5.823630853,14.62944411,3.120666721,22.03656688,0.060608006,0.090600785,0.15183191,0.14316216,0.035896261,0.283377593,0.031790743,0.223411716,1.514263972,3.043325246,7.363971061,0.96497232,2.080914448,0.25325196,0.31176122,0.052003738,0.298767541,0.020380728,0.299636949,0.040615134,0.029048066,0.457730907,1.177914053,0.025639197,0.218785306,0.44472115,0.203559229,0.073288625,0.11205174,0.030255917,0.054661991,0.00864638,0.070913372,0.075768511,0.032804868,0.041845665,0.008629411,0.029535355,0.237202644,0.029416488,0.061385155,0.064585125,0.062374706,0.045881941,0.019450269,0.026416142,0.024071827
ID_336,0.054514648,0.019007076,0.696391589,2.626276533,0.012071899,0.024537199,0.103157224,0.363556232,0.908828375,0.17817389,0.551262501,5.718292238,10.15885984,23.07449256,0.015307555,0.03489265,0.284751336,0.178805742,1.753107106,0.120977078,0.32923256,1.255892783,0.305668196,0.225402658,2.319436093,8.588593328,19.78006722,3.15692136,19.07975874,4.633570966,21.19028581,0.069706876,0.112299008,0.104476969,0.158082493,0.041638564,0.329433053,0.052738044,0.24913617,1.300383507,3.231792269,8.094962747,0.778956782,2.226597334,0.245486034,0.385556088,0.056972451,0.400632351,0.033136315,0.313744215,0.072575841,0.014860503,0.4984379,1.591733564,0.018989534,0.180157468,0.560587813,0.226558754,0.106000355,0.112985539,0.045465782,0.076678024,0.012270327,0.089137663,0.07908349,0.031440223,0.03838137,0.006375465,0.02922556,0.34730892,0.039128584,0.091371664,0.069489713,0.02403343,0.036946952,0.023397291,0.032648721,0.045239345
