440.4b,466.3a,468.3a,468.3b,480.4a,480.4b,480.4c,482.4a,482.4b,482.4c,494.3a,494.3b,496.3a,496.3b,506.5a,508.3b,508.3c,508.3d,510.4a,510.4b,512.4a,512.4b,512.4d,518.4b,518.4c,520.3a,520.3b,522.4a,522.4b,524.4a,524.4a_v1,536.4a,536.4c,538.3a,538.3c,540.4a,540.4b,540.4c,542.3b,542.3c,544.4a,544.4b,546.3b,546.3c,548.4a,548.4c,550.4a,550.4c,552.4e,552.4f,554.4a,566.4a,568.4a,568.4b,570.3a,570.3b,570.3c,572.3a,572.3b,572.3c,578.3b,580.4a,580.4d,580.4e,594.3a,596.4a,596.4c,598.4a,606.4a,608.5c,610.3a,620.4a,622.4a,622.4b,622.4c,634.6a,638.6a,638.6b
ID_11,0.131933844540524,0.0387473344306524,0.707153907116469,0.913818090197147,0.00506225010508617,0.00600518200924758,0.025132315586232,0.0838438400202374,0.420422666781683,0.0963644610741394,0.315001689921048,1.31819274323328,5.81641093232225,21.8783073319684,0.00384775765531434,0.0749605825035781,0.0560073191377502,0.0434023075485369,0.651022809890794,0.0385221592026264,0.236884911683979,0.753654594911308,0.0967098388046084,0.150940786536514,0.38489662734159,6.95791094105323,10.6482618929939,5.58829611243868,8.46386985046703,1.80426112585629,13.2590034446686,0.0189784525868267,0.0256466654411071,0.0840187297578088,0.0732427002876125,0.0113795253642736,0.109156785931544,0.0298025552670486,0.424404332203882,0.190218131628603,4.16400442615563,3.05653694797197,1.51299141732931,1.03579262790103,0.374412073033744,0.172311117417012,0.139078314147514,0.12168116587993,0.0260398932965281,0.133186765695782,0.0602418333687597,0.54637488433433,0.85803026717544,0.692088847422809,0.174169186615313,0.451865412391303,0.340660183458572,0.412802768225616,0.202858934724722,0.0940713240857503,0.0109623549384214,0.306292380769119,0.0495946721854799,0.0559842707019756,0.504767914894857,0.0413084922157024,0.310397426420021,0.44744043295755,0.135903470360991,0.178343551912568,0.52812088644317,0.191298372835632,0.178739916889234,0.308558056981897,0.18507349726776,0.134258778139802,0.362798008794536,0.530630306851618
ID_12,0.0993908721704394,0.0171395815693736,0.484514663453576,0.495989777272551,0.00834249569380969,0.00830316520750189,0.0330768597841226,0.0938885018907773,0.408015279365806,0.138144350786058,0.198101124652791,1.40813785372568,7.20415620878698,28.0515478654638,0.0042997188167709,0.078711036101013,0.0308206108021344,0.0886697360212683,1.08586770691475,0.0593287508945648,0.85329637022208,2.61247980952634,0.0924603688192902,0.238203621351114,0.665970591548317,8.95134635621041,17.3411635217398,4.36952322019875,8.18932468379742,2.84564962478583,17.3253498045356,0.104980497425788,0.0535647844821448,0.231510201352382,0.0871028418599336,0.0738393506263714,0.345310232888232,0.0456810648049919,0.248592464119889,0.244758021489516,3.73970703160155,4.06825794564717,0.972897592152017,1.03951727584331,0.442989282691591,0.234052150317982,0.109731598167688,0.180071750489203,0.0187678994147204,0.195458476973192,0.123962044431716,0.640533790722489,0.723156088632109,0.610753274772236,0.301785632876405,0.366852634479478,0.369443563263112,0.449947497561595,0.257676048901833,0.104544906790945,0.0211181832198581,0.105399043550376,0.0171647035228587,0.0560408503796755,0.17430125874239,0.0472687821218652,0.0540445180689056,0.0974050156718584,0.0357380553030272,0.143668715046605,0.119522944515472,0.0904666364454359,0.0938095265689102,0.132547510465542,0.0627855126498003,0.0367490681998876,0.210583387246043,0.109523235685752
ID_13,0.061532618629174,0.0200862436656683,0.18607197106896,0.404791052834406,0.00477164497142843,0.00697097563766054,0.0392001205713748,0.12236221082469,0.400558999056438,0.150430271525804,0.193145017906085,1.56098757445583,8.79985188106077,33.0391360951493,0.00504251681120288,0.106605858328358,0.0814652284347002,0.113971327237921,1.40942132738885,0.0781594872305031,0.272511200484074,0.92190415665121,0.146282208871286,0.080388003773914,0.418674215928161,7.02329849492825,16.6221842097867,3.93879344124996,11.4038660521383,3.40878142569404,21.3991259139181,0.0390147478856504,0.0631312839194901,0.0588504307378488,0.129520098151592,0.0242732004568863,0.159054784463121,0.0595308424342775,0.229418781514454,0.271963129260673,4.60226086292262,3.27130914066776,0.588458835878817,1.2557219389921,0.718935416136998,0.226360666485653,0.269504835055962,0.265265692994819,0.0280637899906746,0.240638011952622,0.145878152097626,0.168947182753679,1.02192604865352,0.817418765191046,0.108381208039267,0.371921588318486,0.338512328073186,1.10545469523839,0.198258888957036,0.124559748096075,0.0279000938853344,0.175117467587934,0.0402697991016155,0.0742954027363654,0.337136375614914,0.198637725647573,0.124028840800365,0.0754549588875775,0.0793517138553046,0.17686762741652,0.149299946915331,0.220364744125508,0.133862200966958,0.182515769057322,0.0282101804335091,0.113782069731873,0.151900343936554,0.137185787932044
ID_15,0.0680744357438968,0.0132607259709443,0.352196393927257,0.919239456790597,0.00750439613081529,0.00910501318940757,0.0409652542356221,0.0930360325349898,0.335381261389683,0.146854661277004,0.279896033144464,1.70620198416328,7.63888046854013,27.5330825962043,0.00563077803508958,0.0810390272987756,0.027152570281849,0.0823051682450828,1.16023323563625,0.0595941157943125,0.467431951048467,1.43102565202797,0.151744409599875,0.120265592911306,0.46850426358581,5.31234832900986,14.6233006558642,3.84067395393605,9.67340250312875,2.55770937141783,17.5496799025904,0.0584508842334958,0.032618931594868,0.0748953483947861,0.0810242959161614,0.0364007252503592,0.198275005049523,0.0503926633127017,0.166384279370666,0.264438010068521,2.99368136957129,5.05373377581121,0.348293928163483,1.10552719480904,0.36846331085537,0.192498401514878,0.0989458591330373,0.188345914108666,0.0188144363599728,0.178765162182165,0.108703030020609,0.0879781427963265,0.533686779457619,0.697824972404984,0.135540568962144,0.236110018548481,0.212035418871462,0.395975810941254,0.104439724031019,0.0842421142330723,0.0140487397578539,0.108124411015555,0.0196753615465921,0.0565260939659143,0.167505378878288,0.0597451427459529,0.0337502547015198,0.0517015720833173,0.0398756912966581,0.182217761027746,0.0664852623444857,0.102143847391252,0.0871359660761259,0.0958656083676303,0.0443294242284662,0.0285047527186964,0.0725875847192594,0.0553915200368494
ID_16,0.0601874657909141,0.021615887845524,0.289808902217879,0.600099480794706,0.00614393650793651,0.0079045914489584,0.0304223944900824,0.0946080574343636,0.440820611377725,0.104813315722265,0.460270563191259,1.71771712780358,6.29593953265813,21.4903828649914,0.0052368790735872,0.12650332037703,0.066370264425893,0.0950920315388916,1.10673962625864,0.0423249291778513,0.189982416584249,0.608521379026682,0.075126154181967,0.123377877703232,0.499555541971374,6.37974772387443,12.8963774625707,5.48852566663782,8.86966978671905,2.03424275047659,13.8670223311255,0.0203396928207941,0.05148194780783,0.0494582807921843,0.0738197296863605,0.0130213057482051,0.0794360575276762,0.0293063789356728,0.326311712688801,0.273332892208078,3.22823618238518,3.6073990648381,0.511572590798955,0.522461260993717,0.517594275672891,0.182982551978294,0.108782710594634,0.221841552125555,0.015487861776807,0.124320564835658,0.094429419099731,0.393408766466918,0.700527066722241,0.703223752217403,0.0705576217349323,0.284871733605782,0.214621927006554,0.441066345821412,0.224374806147996,0.0914849480021894,0.0227923245558927,0.128891009321305,0.0265429281079314,0.0385007181171319,0.19858694630552,0.0634240333314883,0.0246602559663367,0.0288950765933917,0.0482256970418622,0.139634920634921,0.0539821031550571,0.123718922391165,0.0522870426762026,0.145972308113573,0.0439826187693017,0.0526603094224924,0.0787846485370829,0.061847493698672
ID_17,0.0994083738034631,0.0221278370249296,0.459145437901021,0.737322585238314,0.00906357575757576,0.00941233659397354,0.030491137329779,0.126756741159556,0.459000376932468,0.136512901138751,0.336047764474392,1.66940164027119,7.46127375345403,27.6333212492337,0.0041435817512418,0.0487358268219318,0.113883123698353,0.106332721525483,1.79155196154424,0.0575816829278288,0.4448171948373,1.58293409946061,0.108222542642544,0.203774665401736,0.511535358556272,7.96548475778745,15.3357395914796,6.7585181947091,10.5605325703759,3.76532890983957,18.8942540889473,0.0627953719804541,0.085396915996454,0.13740650559745,0.112749979739515,0.0406587843171045,0.24316198112931,0.048483528677395,0.325986486336919,0.326222055808189,4.79854845159414,6.79045301302932,1.14508647689321,1.31088428956569,0.374099603816913,0.231094765137203,0.0997757060004238,0.304822250478108,0.024704270328004,0.202372375943662,0.0583193942140593,0.262550676732315,1.11382657100164,0.810092676548675,0.17830967058222,0.369381470197178,0.336656580625892,0.35418438705792,0.236896566152697,0.0989563459273223,0.0221666094547914,0.0913839217314088,0.0182667438145072,0.0596206934731935,0.112315699917026,0.0698445126295949,0.0901330545208713,0.0498355299867371,0.0581031939351191,0.195960072075595,0.110671511869927,0.0908943177789516,0.113386396290241,0.135953240480371,0.0410475402097902,0.0368217851957545,0.102019039031578,0.11770344988345
ID_18,0.0704069529562136,0.0152995740300263,0.806682758628979,1.88419352747956,0.0141050744937851,0.0186517817962152,0.0662626101936547,0.33705065479914,1.25290365612108,0.16504178993775,0.313137041896972,3.49890005139975,17.7101455245466,10.5768292296869,0.0148530168180598,0.0305658977497298,0.31539139151583,0.147190883261254,2.23878301807043,0.082265253989933,0.284545775474637,0.922858747545595,0.339109374679799,0.171398652566262,1.28004460739439,9.44362102897088,15.9999473211607,5.62339465922517,16.8767197102832,5.97894214250846,22.2405176365473,0.0440078081379894,0.116335492571856,0.0785171660036848,0.26169040293797,0.0366318747708942,0.234944713370918,0.120931408086895,0.334999018924136,0.631632621743084,4.07201307530908,7.28262520461035,1.16097125517744,1.90207778146817,0.797970820278943,0.370196299786745,0.211528109384605,0.53373958438129,0.0697233551636875,0.572488490132564,0.0536407454915175,0.11806341938177,0.926229430425331,1.7757419900835,0.125635502191114,1.00340555401543,0.171147450407026,0.832222933816422,0.203868486161795,0.139098660513099,0.0628048080164821,0.343633238913505,0.0852707122160258,0.168540780234364,0.510024071041661,0.170662020540494,0.115254949875292,0.255571637601307,0.160459650424113,0.342442039835643,0.243494295211458,0.394369285523695,0.295428585348831,0.613577389408668,0.18469239241597,0.215876361803728,0.499809586254613,0.341408144544926
ID_19,0.0808325691571139,0.0433678375363068,0.640520391485647,1.8851614496013,0.0133389178355912,0.0203581415576532,0.0337840659564087,0.255606245701146,0.600365414759186,0.102440345819854,0.272331745657942,3.02400644749813,6.06661086285986,21.6515680231658,0.0147094796169408,0.0278959265153012,0.187341353167495,0.0905572122823497,1.09789626919435,0.0608999082195452,0.449764942213196,1.29628943915126,0.154080649231305,0.200634100761807,1.06179687678894,7.01524092705132,13.5614224000656,2.94264630153599,9.75094221270199,2.54005646895524,12.0961651648831,0.0872356000836809,0.0566523630473748,0.129599304864998,0.121590657561804,0.0561823223435666,0.334717396607252,0.0318497482308486,0.271672587072133,0.580925847224506,3.28979140046574,4.35747913067747,0.63279403490395,1.32451963955942,0.419821156313103,0.23402847669409,0.077403003967609,0.196616989901714,0.0265819861939486,0.177100525000115,0.0476245460335994,0.23446904723714,0.990637668652343,0.879118069703791,0.141817531884829,0.366272577531662,0.282559535655328,0.654141141530438,0.108579684254834,0.0903259793619422,0.0243503423187677,0.123432513814034,0.0333334536036097,0.055903377560766,0.203753622450227,0.0607996690872539,0.0553063137071988,0.203683352098721,0.0475587824268031,0.149747336000078,0.127960542801986,0.109497185681008,0.0971593047702866,0.149224090282475,0.0270528701925081,0.0423794275168885,0.138401004934484,0.117708691767286
ID_20,0.0837428436413406,0.0544712852230642,1.05395152500629,2.18183911422704,0.0250281620123273,0.0317162606585541,0.0252308997749227,0.24807283425639,0.650482966716375,0.0901882460934237,0.524462476195321,2.33161772606607,6.05101887670311,13.4004765883503,0.0111760421755399,0.0222009248762543,0.191265637278391,0.0587698142512159,0.844318164877654,0.0254776371661109,0.324645682017018,0.916504671972559,0.127085016844851,0.249230916791454,1.4821122296955,6.63299273390144,10.4269951726098,2.42188313844579,10.1210584147435,1.94189209627534,11.6219457154595,0.0547237849129874,0.0495586827925736,0.0762590004304536,0.0636496057018638,0.0234920845992615,0.136123033950608,0.0252410460660303,0.28766985021622,0.566737055136724,3.17663347549247,3.96698488678276,0.802252981356229,1.10858559594608,0.41744842301375,0.17752879678301,0.0977485917392277,0.150682966424029,0.0166742229174833,0.116867805989629,0.0428998066540334,0.0552881481127914,0.763065819077401,0.619307422629801,0.185683060277201,0.587883601412339,0.216173414133554,0.468516699116085,0.108532923299946,0.0497095428229491,0.0141599692172295,0.0835671114687585,0.022242517919625,0.039473907455919,0.214396049759244,0.0542274546368529,0.0312489965078358,0.0387164476619082,0.0349687148890594,0.101872640925899,0.0477080784013591,0.0908623169605178,0.126068897182656,0.105810415300464,0.0233565007902712,0.0353473754676599,0.0747952265211984,0.0367892880848053
ID_21,0.0814353146717529,0.0324671216898992,0.725914484783985,2.04154821616626,0.0133574879273949,0.0195228775255148,0.0266362463917394,0.312227292684022,0.83434538322293,0.155468515496687,0.552963533700798,3.95814122248898,9.08365947545418,23.8294073617134,0.0164836433413171,0.0268472581971302,0.155957707094859,0.14608239374811,2.08004092710357,0.0979437008062366,0.333904455706035,1.02495467102563,0.332563779311617,0.308267857187129,1.39199166786424,5.71298887931413,14.4485491094985,4.64899683751742,16.2026960153434,4.1568627878222,22.8840600980095,0.0563002486991469,0.11046446042302,0.0981044506695973,0.192071108859892,0.0360866881370938,0.251343596510207,0.0666733469168767,0.329531419232523,0.544917936561046,5.30566344207205,4.87604076308752,1.35937713484172,1.8987173960047,0.529781876215334,0.348876276304487,0.132132748144046,0.469999055885895,0.0553380954352825,0.337132555414464,0.0507026633099745,0.0613178105549758,0.912917047325781,1.18693230095531,0.103835010976936,0.609607072568859,0.120627851563662,0.450774974008497,0.324067709095438,0.125271758762139,0.0449944142624027,0.154999783369198,0.033278441619877,0.103349589483143,0.262822805798377,0.0545242188636338,0.0777960846157931,0.041629499103055,0.116022838284471,0.211081619330311,0.119506084219767,0.204163081893939,0.187854949696778,0.240242530399555,0.081557949121104,0.0635030995954438,0.166116302537171,0.114446099399621
