AA0Ab,ACC3a,AC83a,AC83b,A80Aa,A80Ab,A80Ac,A82Aa,A82Ab,A82Ac,A9A3a,A9A3b,A9C3a,A9C3b,B0CBa,B083b,B083c,B083d,B10Aa,B10Ab,B12Aa,B12Ab,B12Ad,B18Ab,B18Ac,B203a,B203b,B22Aa,B22Ab,B2AAa,B2AAa_v1,B3CAa,B3CAc,B383a,B383c,BA0Aa,BA0Ab,BA0Ac,BA23b,BA23c,BAAAa,BAAAb,BAC3b,BAC3c,BA8Aa,BA8Ac,BB0Aa,BB0Ac,BB2Ae,BB2Af,BBAAa,BCCAa,BC8Aa,BC8Ab,B703a,B703b,B703c,B723a,B723b,B723c,B783b,B80Aa,B80Ad,B80Ae,B9A3a,B9CAa,B9CAc,B98Aa,C0CAa,C08Bc,C103a,C20Aa,C22Aa,C22Ab,C22Ac,C3ACa,C38Ca,C38Cb
ID_11,0.131933845,0.0319786204511443,0.707153907,0.91381809,0.00506225,0.006005182,0.025132316,0.08384384,0.420422667,0.096364461,0.31500169,1.318192743,5.81641093200001,21.87830733,0.003847758,0.074960583,0.056007319,0.043402308,0.65102281,0.038522159,0.236884912,0.753654595,0.096709839,0.150940787,0.384896627,6.957910941,10.64826189,5.588296112,8.46386985,1.804261126,13.25900344,0.018978453,0.025646665,0.08401873,0.0732427,0.011379525,0.109156786,0.029802555,0.424404332,0.190218132,4.164004426,3.056536948,1.512991417,1.035792628,0.374412073,0.172311117,0.139078314,0.121681166,0.026039893,0.133186766,0.060241833,0.546374884,0.858030267,0.692088847,0.174169187,0.451865412,0.340660183,0.412802768,0.202858935,0.0940713239999999,0.010962355,0.306292381,0.049594672,0.055984271,0.504767915,0.041308492,0.310397426,0.447440433,0.13590347,0.178343552,0.528120886,0.191298373,0.178739917,0.308558057,0.185073497,0.134258778,0.362798009,0.530630307
ID_12,0.099390872,0.04248171423167,0.484514663,0.495989777,0.008342496,0.008303165,0.03307686,0.093888502,0.408015279,0.138144351,0.198101125,1.408137854,7.204156209,28.05154787,0.004299719,0.078711036,0.030820611,0.088669736,1.085867707,0.059328751,0.85329637,2.61247981,0.092460369,0.238203621,0.665970592,8.951346356,17.34116352,4.36952322,8.18932468399999,2.845649625,17.3253498,0.104980497,0.053564784,0.231510201,0.0871028419999999,0.073839351,0.345310233,0.045681065,0.248592464,0.244758021,3.739707032,4.068257946,0.972897592,1.039517276,0.442989283,0.23405215,0.109731598,0.18007175,0.018767899,0.195458477,0.123962044,0.640533791,0.723156089,0.610753275,0.301785633,0.366852634,0.369443563,0.449947498,0.257676049,0.104544907,0.021118183,0.105399044,0.017164704,0.05604085,0.174301259,0.047268782,0.054044518,0.0974050160000001,0.035738055,0.143668715,0.119522945,0.090466636,0.093809527,0.13254751,0.062785513,0.036749068,0.210583387,0.109523236
ID_13,0.061532619,0.0222626057516761,0.186071971,0.404791053,0.004771645,0.006970976,0.039200121,0.122362211,0.400558999,0.150430272,0.193145018,1.560987574,8.799851881,33.0391361,0.005042517,0.106605858,0.081465228,0.113971327,1.409421327,0.078159487,0.2725112,0.921904157,0.146282209,0.080388004,0.418674216,7.023298495,16.62218421,3.938793441,11.40386605,3.408781426,21.39912591,0.039014748,0.063131284,0.058850431,0.129520098,0.0242732,0.159054784,0.059530842,0.229418782,0.271963129,4.602260863,3.271309141,0.588458836,1.255721939,0.718935416,0.226360666,0.269504835,0.265265693,0.02806379,0.240638012,0.145878152,0.168947183,1.021926049,0.817418765,0.108381208,0.371921588,0.338512328,1.105454695,0.198258889,0.124559748,0.027900094,0.175117468,0.040269799,0.074295403,0.337136376,0.198637726,0.124028841,0.075454959,0.079351714,0.176867627,0.149299947,0.220364744,0.133862201,0.182515769,0.02821018,0.11378207,0.151900344,0.137185788
ID_15,0.068074436,0.013260726,0.352196394,0.919239457,0.007504396,0.009105013,0.040965254,0.093036033,0.335381261,0.146854661,0.279896033,1.706201984,7.63888046900001,27.5330826,0.005630778,0.081039027,0.02715257,0.082305168,1.160233236,0.059594116,0.467431951,1.431025652,0.15174441,0.120265593,0.468504264,5.312348329,14.62330066,3.840673954,9.67340250299999,2.557709371,17.5496799,0.058450884,0.032618932,0.074895348,0.081024296,0.036400725,0.198275005,0.050392663,0.166384279,0.26443801,2.99368137,5.053733776,0.348293928,1.105527195,0.368463311,0.192498402,0.098945859,0.188345914,0.018814436,0.178765162,0.10870303,0.087978143,0.533686779,0.697824972,0.135540569,0.236110019,0.212035419,0.395975811,0.104439724,0.084242114,0.01404874,0.108124411,0.019675362,0.056526094,0.167505379,0.059745143,0.033750255,0.051701572,0.039875691,0.182217761,0.066485262,0.102143847,0.087135966,0.0958656080000001,0.044329424,0.028504753,0.072587585,0.05539152
ID_16,0.060187466,0.021615888,0.289808902,0.600099481,0.006143937,0.007904591,0.030422394,0.094608057,0.440820611,0.104813316,0.460270563,1.717717128,6.295939533,21.49038286,0.005236879,0.12650332,0.066370264,0.095092032,1.106739626,0.042324929,0.189982417,0.608521379,0.075126154,0.123377878,0.499555542,6.379747724,12.89637746,5.488525667,8.86966978700001,2.03424275,13.86702233,0.020339693,0.051481948,0.049458281,0.07381973,0.013021306,0.079436058,0.029306379,0.326311713,0.273332892,3.228236182,3.607399065,0.511572591,0.522461261,0.517594276,0.182982552,0.108782711,0.221841552,0.015487862,0.124320565,0.094429419,0.393408766,0.700527067,0.703223752,0.070557622,0.284871734,0.214621927,0.441066346,0.224374806,0.091484948,0.022792325,0.128891009,0.026542928,0.038500718,0.198586946,0.063424033,0.024660256,0.028895077,0.048225697,0.139634921,0.053982103,0.123718922,0.052287043,0.145972308,0.043982619,0.052660309,0.078784649,0.061847494
ID_17,0.0994083739999999,0.022127837,0.459145438,0.737322585,0.009063576,0.009412337,0.030491137,0.126756741,0.459000377,0.136512901,0.336047764,1.66940164,7.461273753,27.63332125,0.004143582,0.048735827,0.113883124,0.106332722,1.791551962,0.057581683,0.444817195,1.582934099,0.108222543,0.203774665,0.511535359,7.96548475800001,15.33573959,6.758518195,10.56053257,3.76532891,18.89425409,0.062795372,0.085396916,0.137406506,0.11274998,0.040658784,0.243161981,0.048483529,0.325986486,0.326222056,4.798548452,6.790453013,1.145086477,1.31088429,0.374099604,0.231094765,0.099775706,0.30482225,0.02470427,0.202372376,0.058319394,0.262550677,1.113826571,0.810092677,0.178309671,0.36938147,0.336656581,0.354184387,0.236896566,0.098956346,0.022166609,0.091383922,0.018266744,0.059620693,0.1123157,0.069844513,0.090133055,0.04983553,0.058103194,0.195960072,0.110671512,0.0908943179999999,0.113386396,0.13595324,0.04104754,0.036821785,0.102019039,0.11770345
ID_18,0.070406953,0.015299574,0.806682759,1.884193527,0.014105074,0.018651782,0.06626261,0.337050655,1.252903656,0.16504179,0.313137042,3.498900051,17.71014552,10.57682923,0.014853017,0.030565898,0.315391392,0.147190883,2.238783018,0.082265254,0.284545775,0.922858748,0.339109375,0.171398653,1.280044607,9.443621029,15.99994732,5.623394659,16.87671971,5.978942143,22.24051764,0.044007808,0.116335493,0.078517166,0.261690403,0.036631875,0.234944713,0.120931408,0.334999019,0.631632622,4.072013075,7.282625205,1.160971255,1.902077781,0.79797082,0.3701963,0.211528109,0.533739584,0.069723355,0.57248849,0.053640745,0.118063419,0.92622943,1.77574199,0.125635502,1.003405554,0.17114745,0.832222934,0.203868486,0.139098661,0.062804808,0.343633239,0.085270712,0.16854078,0.510024071,0.170662021,0.11525495,0.255571638,0.16045965,0.34244204,0.243494295,0.394369286,0.295428585,0.613577389,0.184692392,0.215876362,0.499809586,0.341408145
ID_19,0.080832569,0.043367838,0.640520391,1.88516145,0.013338918,0.020358142,0.033784066,0.255606246,0.600365415,0.102440346,0.272331746,3.024006447,6.066610863,21.65156802,0.01470948,0.027895927,0.187341353,0.090557212,1.097896269,0.060899908,0.449764942,1.296289439,0.154080649,0.200634101,1.061796877,7.015240927,13.5614224,2.942646302,9.75094221300001,2.540056469,12.09616516,0.0872356,0.056652363,0.129599305,0.121590658,0.056182322,0.334717397,0.031849748,0.271672587,0.580925847,3.2897914,4.357479131,0.632794035,1.32451964,0.419821156,0.234028477,0.077403004,0.19661699,0.026581986,0.177100525,0.047624546,0.234469047,0.990637669,0.87911807,0.141817532,0.366272578,0.282559536,0.654141142,0.108579684,0.090325979,0.024350342,0.123432514,0.033333454,0.055903378,0.203753622,0.060799669,0.055306314,0.203683352,0.047558782,0.149747336,0.127960543,0.109497186,0.097159305,0.14922409,0.02705287,0.042379428,0.138401005,0.117708692
ID_20,0.083742844,0.054471285,1.053951525,2.181839114,0.025028162,0.031716261,0.0252309,0.248072834,0.650482967,0.090188246,0.524462476,2.331617726,6.051018877,13.40047659,0.011176042,0.022200925,0.191265637,0.058769814,0.844318165,0.025477637,0.324645682,0.916504672,0.127085017,0.249230917,1.48211223,6.632992734,10.42699517,2.421883138,10.12105841,1.941892096,11.62194572,0.054723785,0.049558683,0.076259,0.063649606,0.023492085,0.136123034,0.025241046,0.28766985,0.566737055,3.176633475,3.966984887,0.802252981,1.108585596,0.417448423,0.177528797,0.097748592,0.150682966,0.016674223,0.116867806,0.042899807,0.055288148,0.763065819,0.619307423,0.18568306,0.587883601,0.216173414,0.468516699,0.108532923,0.049709543,0.014159969,0.083567111,0.022242518,0.039473907,0.21439605,0.054227455,0.031248997,0.038716448,0.034968715,0.101872641,0.047708078,0.090862317,0.126068897,0.105810415,0.023356501,0.035347375,0.074795227,0.036789288
ID_21,0.081435315,0.032467122,0.725914485,2.041548216,0.013357488,0.019522878,0.026636246,0.312227293,0.834345383,0.155468515,0.552963534,3.958141222,9.08365947500001,23.82940736,0.016483643,0.026847258,0.155957707,0.146082394,2.080040927,0.097943701,0.333904456,1.024954671,0.332563779,0.308267857,1.391991668,5.712988879,14.44854911,4.648996838,16.20269602,4.156862788,22.8840601,0.056300249,0.11046446,0.098104451,0.192071109,0.036086688,0.251343597,0.066673347,0.329531419,0.544917937,5.305663442,4.876040763,1.359377135,1.898717396,0.529781876,0.348876276,0.132132748,0.469999056,0.055338095,0.337132555,0.050702663,0.061317811,0.912917047,1.186932301,0.103835011,0.609607073,0.120627852,0.450774974,0.324067709,0.125271759,0.044994414,0.154999783,0.033278442,0.103349589,0.262822806,0.054524219,0.077796085,0.041629499,0.116022838,0.211081619,0.119506084,0.204163082,0.18785495,0.24024253,0.0815579490000001,0.0635031,0.166116303,0.114446099
